start	end	text
0	3980	Do the D-A-S-D-E 1-2-3-4, FIGHT!
3980	8540	Stick to the B-E-E-D-A-Z Get ready to ignite
8540	12580	You are such a B-Y-E Catching all the lights
12580	16840	Just easy, or ABC that's how you make it right
16840	20920	Do the D-A-S-D-E 1-2-3-4, FIGHT!
20920	25360	Stick to the B-E-E-A-Z Get ready to ignite
25360	29580	You are such a B-Y-E Catching all the lights
29580	33900	Just easy, or ABC that's how you make it right
33900	38220	Do the D-A-S-D-E Stick to the B-E-E-A-Z
38220	43660	Just easy, or ABC Do the dance, do the dance
43660	48140	The way you move is a mystery
51020	56780	Do the dance You always have a redicule in me
59660	65020	Do the dance The way you move is a mystery
68140	73660	Do the dance You always have a redicule in me
76620	80780	Do the D-A-S-D-E 1-2-3-4, FIGHT!
80780	85100	Stick to the B-E-E-A-Z Get ready to ignite
85100	89340	You are such a B-Y-E Catching all the lights
89340	93580	Just easy, or ABC that's how you make it right
93580	99420	Do the dance The way you move is a mystery
102060	108300	Do the dance You always have a redicule in me
110620	116540	Do the dance The way you move is a mystery
117500	124860	Do the dance You always have a redicule in me
124860	144620	Do the dance
144620	148860	Do the D-A-S-D-E Do the dance, do the dance
148860	153660	Stick to the B-E-E-A-Z Do the dance, do the dance
153660	157340	You are such a B-Y-E Do the dance, do the dance
157340	161900	Just easy, or ABC Do the dance, do the dance
161900	166140	Under the spotlights Neither black nor white
166140	170380	It doesn't matter Do the dance, do the dance
170380	174620	As tall as you might Working day and night
174620	178940	Whatever happens Do the dance, do the dance
178940	183100	Under the spotlights Neither black nor white
183180	187420	It doesn't matter Do the dance, do the dance
187420	191660	As tall as you might Working day and night
191660	196620	Whatever happens Do the dance, do the dance
197980	206460	The way you move is a mystery Do the dance
206460	209660	You always have a redicule in me
213100	218060	The way you move is a mystery
